pkfam_index	Subgroup	Group	Uniprot_protein_human_name	Human Alias.2	Uniprot_protein_human_id	Uniprot_protein_mouse_name	Mouse Alias.2	Uniprot_protein_mouse_id	Uniprot_Gene	KRSA	UKA	PTMSEA	KEA3
363	TKL	Ser/Thrproteinkinasefamily	KSR2	HUMAN	Q6VAB6	KSR2	MOUSE	Q3UVC0	KSR2	RAF	Not Found By Ethan	Not found by Ethan	KSR2
440	Tyr	proteinkinasefamily	LTK	HUMAN	P29376	LTK	MOUSE	P08923	LTK	ALK	LTK	Not found by Jake	Not found
285	STE	Ser/Thrproteinkinasefamily	MP2K5	HUMAN	Q13163	MP2K5	MOUSE	Q9WVS7	MAP2K5	STE7	MAP2K5	Not found by Ethan	Not found
291	STE	Ser/Thrproteinkinasefamily	M3K12	HUMAN	Q12852	M3K12	MOUSE	Q60700	MAP3K12	MLK	DLK	Not found by Ethan	Not found
292	STE	Ser/Thrproteinkinasefamily	M3K13	HUMAN	O43283	M3K13	MOUSE	Q1HKZ5	MAP3K13	MLK	Not Found By Ethan	Not found by Ethan	MAP3K13
297	STE	Ser/Thrproteinkinasefamily	M3K20	HUMAN	Q9NYL2	M3K20	MOUSE	Q9ESL4	MAP3K20	Not Found By Ethan	ZAK	Not found by Ethan	MAP3K20
305	STE	Ser/Thrproteinkinasefamily	M3K9	HUMAN	P80192	M3K9	MOUSE	Q3U1V8	MAP3K9	MLK	MLK1	Not found by Ethan	Not found
308	STE	Ser/Thrproteinkinasefamily	M4K3	HUMAN	Q8IVH8	M4K3	MOUSE	Q99JP0	MAP4K3	KHS	Not Found By Ethan	Not found by Ethan	MAP4K3
231	CMGC	Ser/Thrproteinkinasefamily	MK04	HUMAN	P31152	MK04	MOUSE	Q6P5G0	MAPK4	ERK	ERK4	Not found by Ethan	Not found
98	CAMK	Ser/Thrproteinkinasefamily	MARK1	HUMAN	Q9P0L2	MARK1	MOUSE	Q8VHJ5	MARK1	Not Found By Ethan	MARK1	MARK1	Not found
101	CAMK	Ser/Thrproteinkinasefamily	MARK4	HUMAN	Q96L34	MARK4	MOUSE	Q8CIP4	MARK4	Not Found By Ethan	MARK4	Not found by Ethan	MARK4
236	CMGC	Ser/Thrproteinkinasefamily	MOK	HUMAN	Q9UQ07	MOK	MOUSE	Q9WVS4	MOK	Not Found By Ethan	MOK	Not found by Ethan	MOK
510	Other	Other	MOS	HUMAN	P00540	MOS	MOUSE	P00536	MOS	Not Found By Ethan	MOS	Not found by Ethan	MOS
106	CAMK	Ser/Thrproteinkinasefamily	MYLK2	HUMAN	Q9H1R3	MYLK2	MOUSE	Q8VCR8	MYLK2	MLCK	Not Found By Jake	Not found by Ethan	MYLK2
312	STE	Ser/Thrproteinkinasefamily	MYO3A	HUMAN	Q8NEV4	MYO3A	MOUSE	Q8K3H5	MYO3A	N/A	Not Found By Jake	Not found by Ethan	MYO3A
249	NEK	Ser/Thrproteinkinasefamily	NEK1	HUMAN	Q96PY6	NEK1	MOUSE	P51954	NEK1	Not Found By Ethan	Nek1	NEK1	Not found
250	NEK	Ser/Thrproteinkinasefamily	NEK10	HUMAN	Q6ZWH5	NEK10	MOUSE	Q3UGM2	NEK10	Not Found By Ethan	Nek10	Not found by Ethan	NEK10
254	NEK	Ser/Thrproteinkinasefamily	NEK4	HUMAN	P51957	NEK4	MOUSE	Q9Z1J2	NEK4	NEK	Not Found By Jake	Not found by Ethan	NEK4
255	NEK	Ser/Thrproteinkinasefamily	NEK5	HUMAN	Q6P3R8	NEK5	MOUSE	Q7TSC3	NEK5	NEK	Nek5	Not found by Ethan	Not found
258	NEK	Ser/Thrproteinkinasefamily	NEK8	HUMAN	Q86SG6	NEK8	MOUSE	Q91ZR4	NEK8	NEK	Not Found By Jake	Not found by Ethan	NEK8
109	CAMK	Ser/Thrproteinkinasefamily	NIM1	HUMAN	Q8IY84	NIM1	MOUSE	Q8BHI9	NIM1K	N/A	Not Found By Jake	Not found by Ethan	NIM1K
272	RGC	kinase:adenylylcyclaseclass-4/guanylylcyclase	ANPRA	HUMAN	P16066	ANPRA	MOUSE	P18293	NPR1	HAL	ANP[alpha]	Not found by Ethan	Not found
273	RGC	kinase:adenylylcyclaseclass-4/guanylylcyclase	ANPRB	HUMAN	P20594	ANPRB	MOUSE	Q6VVW5	NPR2	N/A	Not Found By Jake	Not found by Ethan	NPR2
512	Other	Other	NRBP2	HUMAN	Q9NSY0	NRBP2	MOUSE	Q91V36	NRBP2	N/A	Not Found By Jake	Not found by Ethan	NRBP2
514	Other	Other	PDK1L	HUMAN	Q8N165	PDK1L	MOUSE	Q8QZR7	PDIK1L	N/A	Not Found By Jake	Not found by Jake	PDIK1L
607	Atypical:	PDK/BCKDKproteinkinasefamily	PDK2	HUMAN	Q15119	PDK2	MOUSE	Q9JK42	PDK2	PDHK	Not Found By Jake	PDHK2/PDK2	Not found
114	CAMK	Ser/Thrproteinkinasefamily	PHKG1	HUMAN	Q16816	PHKG1	MOUSE	P07934	PHKG1	PHK	PhK[gamma]1	Not found by Jake	Not found
115	CAMK	Ser/Thrproteinkinasefamily	PHKG2	HUMAN	P15735	PHKG2	MOUSE	Q9DB30	PHKG2	PHK	PhK[gamma]2	Not found by Jake	Not found
620	Atypical:	PI3/PI4-kinasefamily	PK3CA	HUMAN	P42336	PK3CA	MOUSE	P42337	PIK3CA	N/A	Not Found By Jake	Not found by Jake	PIK3CA
621	Atypical:	PI3/PI4-kinasefamily	PK3CB	HUMAN	P42338	PK3CB	MOUSE	Q8BTI9	PIK3CB	N/A	Not Found By Jake	Not found by Jake	PIK3CB
517	Other	Other	PI3R4	HUMAN	Q99570	PI3R4	MOUSE	Q8VD65	PIK3R4	N/A	Not Found By Jake	Not found by Jake	PIK3R4
118	CAMK	Ser/Thrproteinkinasefamily	PIM3	HUMAN	Q86V86	PIM3	MOUSE	P58750	PIM3	PIM	Pim3	Not found by Jake	Not found
30	AGC	Ser/Thrproteinkinasefamily	PKN2	HUMAN	Q16513	PKN2	MOUSE	Q8BWW9	PKN2	PKN	PAK2	Not found by Jake	Not found
31	AGC	Ser/Thrproteinkinasefamily	PKN3	HUMAN	Q6P5Z2	PKN3	MOUSE	Q8K045	PKN3	PKN	PAK3	Not found by Jake	Not found
119	CAMK	Ser/Thrproteinkinasefamily	KCC1B	HUMAN	Q6P2M8	KCC1B	MOUSE	Q9QYK9	PNCK	CAMK1	Not Found By Jake	Not found by Jake	PNCK
526	Other	Other	SG196	HUMAN	Q9H5K3	SG196	MOUSE	Q3TUA9	POMK	N/A	SgK196	Not found by Jake	Not found
527	Other	Other	PRAG1	HUMAN	Q86YV5	PRAG1	MOUSE	Q571I4	PRAG1	N/A	SgK223	Not found by Jake	Not found
33	AGC	Ser/Thrproteinkinasefamily	KAPCB	HUMAN	P22694	KAPCB	MOUSE	P68181	PRKACB	PKA	Not Found By Jake	Not found by Jake	PRKACB
126	CAMK	Ser/Thrproteinkinasefamily	KPSH2	HUMAN	Q96QS6				PSKH2	N/A	PSKH2	Not found by Jake	Not found
455	Tyr	proteinkinasefamily	PTK7	HUMAN	Q13308	PTK7	MOUSE	Q8BKG3	PTK7	PTK7	CCK4/PTK7	Not found by Jake	Not found
528	Other	Other	PXK	HUMAN	Q7Z7A4	PXK	MOUSE	Q8BX57	PXK	N/A	Not Found By Jake	Not found by Jake	PXK
633	Atypical:	RIO-typeSer/Thrkinasefamily	RIOK1	HUMAN	Q9BRS2	RIOK1	MOUSE	Q922Q2	RIOK1	N/A	Not Found By Jake	Not found by Jake	RIOK1
529	Other	Other	RN5A	HUMAN	Q05823	RN5A	MOUSE	Q05921	RNASEL	N/A	RNAseL	Not found by Jake	Not found
457	Tyr	proteinkinasefamily	ROR1	HUMAN	Q01973	ROR1	MOUSE	Q9Z139	ROR1	N/A	ROR1	Not found by Jake	Not found
458	Tyr	proteinkinasefamily	ROR2	HUMAN	Q01974	ROR2	MOUSE	Q9Z138	ROR2	N/A	ROR2	Not found by Jake	Not found
459	Tyr	proteinkinasefamily	ROS1	HUMAN	P08922	ROS1	MOUSE	Q78DX7	ROS1	SEV	Ros	Not found by Jake	Not found
530	Other	Other	KS6C1	HUMAN	Q96S38	KS6C1	MOUSE	Q8BLK9	RPS6KC1	N/A	RSKL1	Not found by Jake	Not found
460	Tyr	proteinkinasefamily	RYK	HUMAN	P34925	RYK	MOUSE	Q01887	RYK	RYK	RYK	Not found by Jake	Not found
536	Other	Other	SCYL1	HUMAN	Q96KG9	SCYL1	MOUSE	Q9EQC5	SCYL1	N/A	Not Found By Jake	Not found by Jake	SCYL1
537	Other	Other	SCYL2	HUMAN	Q6P3W7	SCYL2	MOUSE	Q8CFE4	SCYL2	N/A	Not Found By Jake	Not found by Jake	SCYL2
538	Other	Other	PACE1	HUMAN	Q8IZE3	PACE1	MOUSE	Q9DBQ7	SCYL3	N/A	Not Found By Jake	Not found by Jake	SCYL3
128	CAMK	Ser/Thrproteinkinasefamily	SIK1B	HUMAN	A0A0B4J2F2				SIK1B	N/A	SIK	Not found by Jake	Not found
129	CAMK	Ser/Thrproteinkinasefamily	SIK2	HUMAN	Q9H0K1	SIK2	MOUSE	Q8CFH6	SIK2	QIK	Not Found By Jake	Not found by Jake	SIK2
323	STE	Ser/Thrproteinkinasefamily	SLK	HUMAN	Q9H2G2	SLK	MOUSE	O54988	SLK	SLK	SLK	Not found by Jake	Not found
131	CAMK	Ser/Thrproteinkinasefamily	SNRK	HUMAN	Q9NRH2	SNRK	MOUSE	Q8VDU5	SNRK	N/A	Not Found By Jake	Not found by Jake	SNRK
135	CAMK	Ser/Thrproteinkinasefamily	ST17B	HUMAN	O94768	ST17B	MOUSE	Q8BG48	STK17B	DAPK	DAPK2	Not found by Jake	Not found
325	STE	Ser/Thrproteinkinasefamily	STK24	HUMAN	Q9Y6E0	STK24	MOUSE	Q99KH8	STK24	N/A	Not Found By Jake	Not found by Jake	STK24
326	STE	Ser/Thrproteinkinasefamily	STK25	HUMAN	O00506	STK25	MOUSE	Q9Z2W1	STK25	N/A	Not Found By Jake	Not found by Jake	STK25
540	Other	Other	STK31	HUMAN	Q9BXU1	STK31	MOUSE	Q99MW1	STK31	N/A	SgK396	Not found by Jake	Not found
545	Other	Other	STK36	HUMAN	Q9NRP7	STK36	MOUSE	Q69ZM6	STK36	ULK	Not Found By Jake	Not found by Jake	STK36
62	AGC	Ser/Thrproteinkinasefamily	ST38L	HUMAN	Q9Y2H1	ST38L	MOUSE	Q7TSE6	STK38L	NDR	Not Found By Jake	Not found by Jake	STK38L
137	CAMK	Ser/Thrproteinkinasefamily	STK40	HUMAN	Q8N2I9	STK40	MOUSE	Q7TNL3	STK40	N/A	Not Found By Jake	Not found by Jake	STK40
463	Tyr	proteinkinasefamily	STYK1	HUMAN	Q6J9G0	STYK1	MOUSE	Q6J9G1	STYK1	STYK1	Not Found By Jake	Not found by Jake	STYK1
333	STE	Ser/Thrproteinkinasefamily	TAOK1	HUMAN	Q7L7X3	TAOK1	MOUSE	Q5F2E8	TAOK1	TAO	Not Found By Jake	Not found by Jake	TAOK1
547	Other	Other	TBCK	HUMAN	Q8TEA7	TBCK	MOUSE	Q8BM85	TBCK	N/A	TBCK	Not found by Jake	Not found
549	Other	Other	TEX14	HUMAN	Q8IWB6	TEX14	MOUSE	Q7M6U3	TEX14	N/A	SgK307	Not found by Jake	Not found
469	Tyr	proteinkinasefamily	TIE1	HUMAN	P35590	TIE1	MOUSE	Q06806	TIE1	N/A	TIE1	Not found by Jake	Not found
470	Tyr	proteinkinasefamily	TNK1	HUMAN	Q13470	TNK1	MOUSE	Q99ML2	TNK1	N/A	Tnk1	Not found by Jake	Not found
377	TKL	Ser/Thrproteinkinasefamily	TNI3K	HUMAN	Q59H18	TNI3K	MOUSE	Q5GIG6	TNNI3K	MLK	Not Found By Jake	Not found by Jake	TNNI3K
145	CAMK	Ser/Thrproteinkinasefamily	TRIB3	HUMAN	Q96RU7	TRIB3	MOUSE	Q8K4K2	TRIB3	N/A	Not Found By Jake	Not found by Jake	TRIB3
146	CAMK	Ser/Thrproteinkinasefamily	TRIO	HUMAN	O75962	TRIO	MOUSE	Q0KL02	TRIO	N/A	Trio	Not found by Jake	Not found
589	Atypical:	Alpha-typeproteinkinasefamily	TRPM7	HUMAN	Q96QT4	TRPM7	MOUSE	Q923J1	TRPM7	N/A	Not Found By Jake	Not found by Jake	TRPM7
148	CAMK	Ser/Thrproteinkinasefamily	TSSK2	HUMAN	Q96PF2	TSSK2	MOUSE	O54863	TSSK2	N/A	TSSK2	Not found by Jake	Not found
149	CAMK	Ser/Thrproteinkinasefamily	TSSK3	HUMAN	Q96PN8	TSSK3	MOUSE	Q9D2E1	TSSK3	N/A	TSSK3	Not found by Jake	Not found
150	CAMK	Ser/Thrproteinkinasefamily	TSSK4	HUMAN	Q6SA08	TSSK4	MOUSE	Q9D411	TSSK4	N/A	TSSK4	Not found by Jake	Not found
152	CAMK	Ser/Thrproteinkinasefamily	TITIN	HUMAN	Q8WZ42	TITIN	MOUSE	A2ASS6	TTN	MLCK	TTN	Not found by Jake	Not found
556	Other	Other	ULK2	HUMAN	Q8IYT8	ULK2	MOUSE	Q9QY01	ULK2	ULK	ULK2	Not found by Jake	Not found
560	Other	Other	WEE2	HUMAN	P0C1S8	WEE2	MOUSE	Q66JT0	WEE2	N/A	Wee2	Not found by Jake	Not found
562	Other	Other	WNK2	HUMAN	Q9Y3S1	WNK2	MOUSE	Q3UH66	WNK2	WNK	WNK2	Not found by Jake	Not found
563	Other	Other	WNK3	HUMAN	Q9BYP7	WNK3	MOUSE	Q80XP9	WNK3	WNK	WNK3	Not found by Jake	Not found
564	Other	Other	WNK4	HUMAN	Q96J92	WNK4	MOUSE	Q80UE6	WNK4	WNK	WNK4	Not found by Jake	Not found
346	TKL	Ser/Thrproteinkinasefamily	ACV1C	HUMAN	Q8NER5	ACV1C	MOUSE	Q8K348	ACVR1C	STKR	Not Found By Ethan	Not found by Ethan	Not found
347	TKL	Ser/Thrproteinkinasefamily	AVR2A	HUMAN	P27037	AVR2A	MOUSE	P27038	ACVR2A	STKR	Not Found By Ethan	Not found by Ethan	Not found
349	TKL	Ser/Thrproteinkinasefamily	ACVL1	HUMAN	P37023	ACVL1	MOUSE	Q61288	ACVRL1	STKR	Not Found By Ethan	Not found by Ethan	Not found
572	Atypical:	ADCKproteinkinasefamily	ADCK1	HUMAN	Q86TW2	ADCK1	MOUSE	Q9D0L4	ADCK1	Not found by Jake	ADCK1	Not found by Ethan	Not found
584	Atypical:	Alpha-typeproteinkinasefamily	ALPK1	HUMAN	Q96QP1	ALPK1	MOUSE	Q9CXB8	ALPK1	Not Found By Ethan	AlphaK1	Not found by Ethan	Not found
351	TKL	Ser/Thrproteinkinasefamily	ANKK1	HUMAN	Q8NFD2	ANKK1	MOUSE	Q8BZ25	ANKK1	RIPK	Not Found By Ethan	Not found by Ethan	Not found
605	Atypical:	PDK/BCKDKproteinkinasefamily	BCKD	HUMAN	O14874	BCKD	MOUSE	O55028	BCKDK	PDHK	Not Found By Ethan	Not found by Ethan	Not found
75	CAMK	Ser/Thrproteinkinasefamily	KCC1G	HUMAN	Q96NX5	KCC1G	MOUSE	Q91VB2	CAMK1G	CAMK1	Not Found By Ethan	Not found by Ethan	Not found
81	CAMK	Ser/Thrproteinkinasefamily	CAMKV	HUMAN	Q8NCB2	CAMKV	MOUSE	Q3UHL1	CAMKV	CAMK	Not Found By Ethan	Not found by Ethan	Not found
10	AGC	Ser/Thrproteinkinasefamily	MRCKG	HUMAN	Q6DT37	MRCKG	MOUSE	Q80UW5	CDC42BPG	DMPK	Not Found By Ethan	Not found by Ethan	Not found
183	CMGC	Ser/Thrproteinkinasefamily	CD11B	HUMAN	P21127	CD11B	MOUSE	P24788	CDK11B	CDK	Not Found By Ethan	Not found by Ethan	Not found
185	CMGC	Ser/Thrproteinkinasefamily	CDK13	HUMAN	Q14004	CDK13	MOUSE	Q69ZA1	CDK13	CDK	Not Found By Ethan	Not found by Ethan	Not found
201	CMGC	Ser/Thrproteinkinasefamily	CDKL1	HUMAN	Q00532	CDKL1	MOUSE	Q8CEQ0	CDKL1	Not Found By Ethan	CDKL1	Not found by Ethan	Not found
202	CMGC	Ser/Thrproteinkinasefamily	CDKL2	HUMAN	Q92772	CDKL2	MOUSE	Q9QUK0	CDKL2	Not Found By Ethan	CDKL2	Not found by Ethan	Not found
11	AGC	Ser/Thrproteinkinasefamily	CTRO	HUMAN	O14578	CTRO	MOUSE	P49025	CIT	DMPK	Not Found By Ethan	Not found by Ethan	Not found
575	Atypical:	ADCKproteinkinasefamily	COQ8A	HUMAN	Q8NI60	COQ8A	MOUSE	Q60936	COQ8A	Not Found By Ethan	ADCK3	Not found by Ethan	Not found
497	Other	Other	CSK23	HUMAN	Q8NEV1				CSNK2A3	CK2	Not Found By Ethan	Not found by Ethan	Not found
399	Tyr	proteinkinasefamily	EPHAA	HUMAN	Q5JZY3	EPHAA	MOUSE	Q8BYG9	EPHA10	Not Found By Ethan	EphA10	Not found by Ethan	Not found
404	Tyr	proteinkinasefamily	EPHA6	HUMAN	Q9UF33	EPHA6	MOUSE	Q62413	EPHA6	Not Found By Ethan	EphA6	Not found by Ethan	Not found
597	Atypical:	FASTproteinkinasefamily	FASTK	HUMAN	Q14296	FASTK	MOUSE	Q9JIX9	FASTK	Not Found By Ethan	Not Found By Ethan	Not found by Ethan	FASTK
19	AGC	Ser/Thrproteinkinasefamily	GRK7	HUMAN	Q8WTQ7				GRK7	GRK	Not Found By Ethan	Not found by Ethan	Not found
268	RGC	kinase:adenylylcyclaseclass-4/guanylylcyclase	GUC2D	HUMAN	Q02846	GUC2D	MOUSE	A0A0U1	GUCY2D	Not Found By Ethan	CYGD	Not found by Ethan	Not found
93	CAMK	Ser/Thrproteinkinasefamily	HUNK	HUMAN	P57058	HUNK	MOUSE	O88866	HUNK	CAMK	Not Found By Ethan	Not found by Ethan	Not found
94	CAMK	Ser/Thrproteinkinasefamily	KALRN	HUMAN	O60229	KALRN	MOUSE	A2CG49	KALRN	Not Found By Ethan	Trad	Not found by Ethan	Not found
364	TKL	Ser/Thrproteinkinasefamily	LIMK1	HUMAN	P53667	LIMK1	MOUSE	P53668	LIMK1	Not Found By Ethan	Not Found By Ethan	Not found by Ethan	LIMK1
365	TKL	Ser/Thrproteinkinasefamily	LIMK2	HUMAN	P53671	LIMK2	MOUSE	O54785	LIMK2	Not Found By Ethan	Not Found By Ethan	Not found by Ethan	LIMK2
438	Tyr	proteinkinasefamily	LMTK2	HUMAN	Q8IWU2	LMTK2	MOUSE	Q3TYD6	LMTK2	Not Found By Ethan	Lmr2	Not found by Ethan	Not found
439	Tyr	proteinkinasefamily	LMTK3	HUMAN	Q96Q04	LMTK3	MOUSE	Q5XJV6	LMTK3	Not Found By Ethan	Lmr3	Not found by Ethan	Not found
222	CMGC	Ser/Thrproteinkinasefamily	MAK	HUMAN	P20794	MAK	MOUSE	Q04859	MAK	Not Found By Ethan	Not Found By Ethan	Not found by Ethan	MAK
294	STE	Ser/Thrproteinkinasefamily	M3K15	HUMAN	Q6ZN16	M3K15	MOUSE	A2AQW0	MAP3K15	STE11	Not Found By Ethan	Not found by Ethan	Not found
296	STE	Ser/Thrproteinkinasefamily	M3K2	HUMAN	Q9Y2U5	M3K2	MOUSE	Q61083	MAP3K2	STE11	Not Found By Ethan	Not found by Ethan	Not found
298	STE	Ser/Thrproteinkinasefamily	M3K21	HUMAN	Q5TCX8	M3K21	MOUSE	Q8VDG6	MAP3K21	Not Found By Ethan	MLK4	Not found by Ethan	Not found
22	AGC	Ser/Thrproteinkinasefamily	MAST1	HUMAN	Q9Y2H9	MAST1	MOUSE	Q9R1L5	MAST1	Not Found By Ethan	Not Found By Ethan	Not found by Ethan	MAST1
23	AGC	Ser/Thrproteinkinasefamily	MAST2	HUMAN	Q6P0Q8	MAST2	MOUSE	Q60592	MAST2	Not Found By Ethan	Not Found By Ethan	Not found by Ethan	MAST2
311	STE	Ser/Thrproteinkinasefamily	MINK1	HUMAN	Q8N4C8	MINK1	MOUSE	Q9JM52	MINK1	Not Found By Ethan	MINK/ZC3	Not found by Ethan	Not found
509	Other	Other	MLKL	HUMAN	Q8NB16	MLKL	MOUSE	Q9D2Y4	MLKL	Not Found By Ethan	MLKL	Not found by Ethan	Not found
446	Tyr	proteinkinasefamily	MUSK	HUMAN	O15146	MUSK	MOUSE	Q61006	MUSK	Not Found By Ethan	MUSK	Not found by Ethan	Not found
105	CAMK	Ser/Thrproteinkinasefamily	MYLK	HUMAN	Q15746	MYLK	MOUSE	Q6PDN3	MYLK	MLCK	Not Found By Jake	Not found by Ethan	Not found
107	CAMK	Ser/Thrproteinkinasefamily	MYLK3	HUMAN	Q32MK0	MYLK3	MOUSE	Q3UIZ8	MYLK3	N/A	Not Found By Jake	Not found by Ethan	Not found
108	CAMK	Ser/Thrproteinkinasefamily	MYLK4	HUMAN	Q86YV6	MYLK4	MOUSE	Q5SUV5	MYLK4	N/A	Not Found By Jake	Not found by Ethan	Not found
313	STE	Ser/Thrproteinkinasefamily	MYO3B	HUMAN	Q8WXR4	MYO3B	MOUSE	Q1EG27	MYO3B	Not Found By Ethan	MYO3B	Not found by Ethan	Not found
70	CAMK	Ser/Thrproteinkinasefamily				SMKX	MOUSE	Q8C0X8	N/A	N/A	Not Found By Jake	Not found by Ethan	Not found
511	Other	Other	NRBP	HUMAN	Q9UHY1	NRBP	MOUSE	Q99J45	NRBP1	N/A	Not Found By Jake	Not found by Ethan	Not found
314	STE	Ser/Thrproteinkinasefamily	NRK	HUMAN	Q7Z2Y5	NRK	MOUSE	Q9R0G8	NRK	MSN	Not Found By Jake	Not found by Ethan	Not found
112	CAMK	Ser/Thrproteinkinasefamily	OBSCN	HUMAN	Q5VST9	OBSCN	MOUSE	A2AAJ9	OBSCN	N/A	Not Found By Jake	Not found by Ethan	Not found
513	Other	Other	PAN3	HUMAN	Q58A45	PAN3	MOUSE	Q640Q5	PAN3	N/A	Not Found By Jake	Not found by Ethan	Not found
608	Atypical:	PDK/BCKDKproteinkinasefamily	PDK3	HUMAN	Q15120	PDK3	MOUSE	Q922H2	PDK3	PDHK	Not Found By Jake	Not found by Jake	Not found
609	Atypical:	PDK/BCKDKproteinkinasefamily	PDK4	HUMAN	Q16654	PDK4	MOUSE	O70571	PDK4	PDHK	Not Found By Jake	Not found by Jake	Not found
28	AGC	Ser/Thrproteinkinasefamily	PDPK2	HUMAN	Q6A1A2				PDPK2P	N/A	Not Found By Jake	Not found by Jake	Not found
515	Other	Other	PEAK1	HUMAN	Q9H792	PEAK1	MOUSE	Q69Z38	PEAK1	N/A	Not Found By Jake	Not found by Jake	Not found
516	Other	Other	PEAK3	HUMAN	Q6ZS72				PEAK3	N/A	Not Found By Jake	Not found by Jake	Not found
622	Atypical:	PI3/PI4-kinasefamily	PK3CD	HUMAN	O00329	PK3CD	MOUSE	O35904	PIK3CD	N/A	Not Found By Jake	Not found by Jake	Not found
519	Other	Other	PKDCC	HUMAN	Q504Y2	PKDCC	MOUSE	Q5RJI4	PKDCC	N/A	Not Found By Jake	Not found by Jake	Not found
525	Other	Other	PLK5	HUMAN	Q496M5	PLK5	MOUSE	Q4FZD7	PLK5	PLK	Not Found By Jake	Not found by Jake	Not found
34	AGC	Ser/Thrproteinkinasefamily	KAPCG	HUMAN	P22612				PRKACG	PKA	Not Found By Jake	Not found by Jake	Not found
125	CAMK	Ser/Thrproteinkinasefamily	KPSH1	HUMAN	P11801	KPSH1	MOUSE	Q91YA2	PSKH1	N/A	Not Found By Jake	Not found by Jake	Not found
634	Atypical:	RIO-typeSer/Thrkinasefamily	RIOK2	HUMAN	Q9BVS4	RIOK2	MOUSE	Q9CQS5	RIOK2	N/A	Not Found By Jake	Not found by Jake	Not found
635	Atypical:	RIO-typeSer/Thrkinasefamily	RIOK3	HUMAN	O14730	RIOK3	MOUSE	Q9DBU3	RIOK3	N/A	Not Found By Jake	Not found by Jake	Not found
372	TKL	Ser/Thrproteinkinasefamily	RIPK4	HUMAN	P57078	RIPK4	MOUSE	Q9ERK0	RIPK4	RIPK	Not Found By Jake	Not found by Jake	Not found
55	AGC	Ser/Thrproteinkinasefamily	KS6A6	HUMAN	Q9UK32	KS6A6	MOUSE	Q7TPS0	RPS6KA6	RSK	Not Found By Jake	Not found by Jake	Not found
532	Other	Other	KS6R	HUMAN	Q96LW2	KS6R	MOUSE	Q5SYL1	RSKR	N/A	Not Found By Jake	Not found by Jake	Not found
533	Other	Other	SBK1	HUMAN	Q52WX2	SBK1	MOUSE	Q8QZX0	SBK1	N/A	Not Found By Jake	Not found by Jake	Not found
534	Other	Other	SBK2	HUMAN	P0C263	SBK2	MOUSE	P0C5K1	SBK2	N/A	Not Found By Jake	Not found by Jake	Not found
535	Other	Other	SBK3	HUMAN	P0C264	SBK3	MOUSE	P0C5K0	SBK3	N/A	Not Found By Jake	Not found by Jake	Not found
130	CAMK	Ser/Thrproteinkinasefamily	SIK3	HUMAN	Q9Y2K2	SIK3	MOUSE	Q6P4S6	SIK3	N/A	Not Found By Jake	Not found by Jake	Not found
465	Tyr	proteinkinasefamily				SMOK1	MOUSE	Q9QYZ4	Smok1	MARK	Not Found By Jake	Not found by Jake	Not found
138	CAMK	Ser/Thrproteinkinasefamily				SMK2A	MOUSE	Q9QYZ6	Smok2a	MARK	Not Found By Jake	Not found by Jake	Not found
139	CAMK	Ser/Thrproteinkinasefamily				SMK2B	MOUSE	Q9QYZ3	Smok2b	MARK	Not Found By Jake	Not found by Jake	Not found
140	CAMK	Ser/Thrproteinkinasefamily				SMK3A	MOUSE	C0HKC8	Smok3a	N/A	Not Found By Jake	Not found by Jake	Not found
141	CAMK	Ser/Thrproteinkinasefamily				SMK3B	MOUSE	C0HKC9	Smok3b	N/A	Not Found By Jake	Not found by Jake	Not found
466	Tyr	proteinkinasefamily				SMKTR	MOUSE	A2KF29	Smoktcr	N/A	Not Found By Jake	Not found by Jake	Not found
132	CAMK	Ser/Thrproteinkinasefamily	SPEG	HUMAN	Q15772	SPEG	MOUSE	Q62407	SPEG	N/A	Not Found By Jake	Not found by Jake	Not found
241	CMGC	Ser/Thrproteinkinasefamily	SRPK3	HUMAN	Q9UPE1	SRPK3	MOUSE	Q9Z0G2	SRPK3	N/A	Not Found By Jake	Not found by Jake	Not found
541	Other	Other	ST32A	HUMAN	Q8WU08	ST32A	MOUSE	Q8BGW6	STK32A	N/A	Not Found By Jake	Not found by Jake	Not found
542	Other	Other	ST32B	HUMAN	Q9NY57	ST32B	MOUSE	Q9JJX8	STK32B	N/A	Not Found By Jake	Not found by Jake	Not found
543	Other	Other	ST32C	HUMAN	Q86UX6	ST32C	MOUSE	Q8QZV4	STK32C	N/A	Not Found By Jake	Not found by Jake	Not found
544	Other	Other	STK35	HUMAN	Q8TDR2	STK35	MOUSE	Q80ZW0	STK35	N/A	Not Found By Jake	Not found by Jake	Not found
546	Other	Other	STKL1	HUMAN	Q8NE28	STKL1	MOUSE	Q80YS9	STKLD1	N/A	Not Found By Jake	Not found by Jake	Not found
142	CAMK	Ser/Thrproteinkinasefamily				SMKW	MOUSE	Q8C0V7	Stk-ps2	N/A	Not Found By Jake	Not found by Jake	Not found
331	STE	Ser/Thrproteinkinasefamily	STRAA	HUMAN	Q7RTN6	STRAA	MOUSE	Q3UUJ4	STRADA	N/A	Not Found By Jake	Not found by Jake	Not found
332	STE	Ser/Thrproteinkinasefamily	STRAB	HUMAN	Q9C0K7	STRAB	MOUSE	Q8K4T3	STRADB	N/A	Not Found By Jake	Not found by Jake	Not found
